xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PA00155	Abend-schoppen	Abendschoppen	Substantiv	-	Abendschoppen	Trinken	1	0.0009	0.0000
PA00579	ab-saufen	absaufen	Verb	1a	oben heruntersaufen	Trinken	1	0.0204	0.0000
PA00825	ab-trinken	abtrinken	Verb	1	von oben wegtrinken	Trinken	1	0.9097	1.0000
PA01307	Alkohol	Alkohol	Substantiv	-	Alkohol	Trinken	1	0.5257	1.0000
PA01737	an-dudeln	andudeln	Verb	-	sich betrinken	Trinken	1	0.9771	1.0000
PA01829	an-feuchten	anfeuchten	Verb	2	einen trinken	Trinken	1	0.9894	1.0000
PA02392	An-trunk	Antrunk	Substantiv		erster Trunk	Trinken	1	0.9667	1.0000
PA02521	Apfel-mops	Apfelmops	Substantiv	-	nachgemachter Apfelwein	Trinken	1	0.9589	1.0000
PA02522	Apfel-most	Apfelmost	Substantiv	-	Apfelmost	Trinken	1	0.0154	0.0000
PA02536	Apfel-, Äpfel-saft	Apfelsaft, Äpfelsaft	Substantiv	1	Apfelsaft, Äpfelsaft	Trinken	1	0.9397	1.0000
PA02561	Apfel-, Äpfel-wein	Apfelwein, Äpfelwein	Substantiv	-	Apfelwein, Äpfelwein	Trinken	1	0.9520	1.0000
PA02627	Arbeiter-sekt	Arbeitersekt	Substantiv	-	Mineralwasser	Trinken	1	0.9691	1.0000
PA02886	Ast-heimer	Astheimer	Substantiv	-	Birnwein	Trinken	1	0.9734	1.0000
PA03060	Auffüll-wein	Auffüllwein	Substantiv	-	Wein zum Auffüllen	Trinken	1	0.9345	1.0000
PA03730	aus-gluckern	ausgluckern	Verb	-	austrinken	Trinken	1	0.9876	1.0000
PA03882	aus-pitschen	auspitschen	Verb	-	austrinken	Trinken	1	0.9876	1.0000
PA04077	aus-stauben	ausstauben	Verb	3	austrinken	Trinken	1	0.9876	1.0000
PA04088	Aus-stich	Ausstich	Substantiv	2	Beerenauslese, edelster Wein	Trinken	1	0.9193	1.0000
PB00373	Bajaß-seiche	Bajaßseiche	Substantiv	-	schlechter Kaffee	Trinken	1	0.9815	1.0000
PB00550	bamscheln	bamscheln	Verb	-	trinken	Trinken	1	0.9988	1.0000
PB00620	Bankerottsmacher-brühe, Bankerottmacher-brühe	Bankerottsmacherbrühe, Bankerottmacherbrühe	Substantiv	-	dünner, schlechter Kaffee	Trinken	1	0.9575	1.0000
PB00757	Pappel-wasser	Pappelwasser	Substantiv	2	geringwertiger Wein	Trinken	1	0.9646	1.0000
PB01168	Batzen-wein	Batzenwein	Substantiv	-	minderwertiger Wein	Trinken	1	0.9649	1.0000
