xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PA00155	Abend-schoppen	Abendschoppen	Substantiv	-	Abendschoppen	Trinken	1	0.8314	1.0000
PA00305	ab-heben	abheben	Verb	I2f	einen trinken	Trinken	1	0.9895	1.0000
PA00579	ab-saufen	absaufen	Verb	1a	oben heruntersaufen	Trinken	1	0.0628	0.0000
PA00825	ab-trinken	abtrinken	Verb	1	von oben wegtrinken	Trinken	1	0.0302	0.0000
PA01307	Alkohol	Alkohol	Substantiv	-	Alkohol	Trinken	1	0.9724	1.0000
PA01737	an-dudeln	andudeln	Verb	-	sich betrinken	Trinken	1	0.9750	1.0000
PA01829	an-feuchten	anfeuchten	Verb	2	einen trinken	Trinken	1	0.9895	1.0000
PA02175	an-saufen	ansaufen	Verb	1	mit dem Saufen (Trinken) beginnen	Trinken	1	0.9387	1.0000
PA02176	an-säuseln	ansäuseln	Verb	1	sich leicht betrinken	Trinken	1	0.9647	1.0000
PA02391	an-trudeln	antrudeln	Verb	2	sich betrinken	Trinken	1	0.9750	1.0000
PA02392	An-trunk	Antrunk	Substantiv		erster Trunk	Trinken	1	0.9575	1.0000
PA02488	Apfel-, Äpfel-bumpes	Apfelbumpes, Äpfelbumpes	Substantiv	-	Apfelwein	Trinken	1	0.9855	1.0000
PA02492	Apfel-fiez	Apfelfiez	Substantiv	-	Apfelwein	Trinken	1	0.9855	1.0000
PA02502	Apfel-gückes	Apfelgückes	Substantiv	-	Apfelwein minderer Sorte	Trinken	1	0.9524	1.0000
PA02521	Apfel-mops	Apfelmops	Substantiv	-	nachgemachter Apfelwein	Trinken	1	0.9557	1.0000
PA02522	Apfel-most	Apfelmost	Substantiv	-	Apfelmost	Trinken	1	0.8499	1.0000
PA02536	Apfel-, Äpfel-saft	Apfelsaft, Äpfelsaft	Substantiv	1	Apfelsaft, Äpfelsaft	Trinken	1	0.9388	1.0000
PA02561	Apfel-, Äpfel-wein	Apfelwein, Äpfelwein	Substantiv	-	Apfelwein, Äpfelwein	Trinken	1	0.9517	1.0000
PA02627	Arbeiter-sekt	Arbeitersekt	Substantiv	-	Mineralwasser	Trinken	1	0.9499	1.0000
PA02886	Ast-heimer	Astheimer	Substantiv	-	Birnwein	Trinken	1	0.9735	1.0000
PA03037	Auf-enthalt	Aufenthalt	Substantiv	3	Schnaps	Trinken	1	0.9844	1.0000
PA03060	Auffüll-wein	Auffüllwein	Substantiv	-	Wein zum Auffüllen	Trinken	1	0.9537	1.0000
PA03624	aus-dudeln	ausdudeln	Verb	-	saugend austrinken	Trinken	1	0.9652	1.0000
PA03730	aus-gluckern	ausgluckern	Verb	-	austrinken	Trinken	1	0.9864	1.0000
PA03809	aus-läppern	ausläppern	Verb	-	in kleinen Schlucken austrinken	Trinken	1	0.9487	1.0000
PA03882	aus-pitschen	auspitschen	Verb	-	austrinken	Trinken	1	0.9864	1.0000
PA03957	aus-saufen	aussaufen	Verb	1	leer saufen	Trinken	1	0.9685	1.0000
PA04077	aus-stauben	ausstauben	Verb	3	austrinken	Trinken	1	0.9864	1.0000
PA04088	Aus-stich	Ausstich	Substantiv	2	Beerenauslese, edelster Wein	Trinken	1	0.9289	1.0000
PB00373	Bajaß-seiche	Bajaßseiche	Substantiv	-	schlechter Kaffee	Trinken	1	0.9850	1.0000
PB00550	bamscheln	bamscheln	Verb	-	trinken	Trinken	1	0.9985	1.0000
