ID	Lemma	Definition	Konzept	Konzept_gemappt	Antwort_ungültig
PA00275	ab-gießen	vom Satz durch Gießen entfernen	kein_Trinken	Trinken.Austrinken	
PA00764	ab-steigen	einkehren	kein_Trinken	Trinken.Alkohol_trinken	
PA01084	Adler	Gasthaus zum Adler	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PA01105	Affe	Rausch	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PA01551	Ambuschur	wer tüchtig im Trinken ist	kein_Trinken	Trinken.Alkohol_trinken	
PA01683	an-brüten	angeheitert	kein_Trinken	Trinken.Alkohol_trinken	
PA01953	an-heitern	anheitern	kein_Trinken	Trinken.Alkohol_trinken	
PA02139	Anrauch-kopf	betrunken sein, bzw. aussehen	kein_Trinken	Trinken.Alkohol_trinken	
PA02161	an-rudeln	betrunken sein	kein_Trinken	Trinken.Alkohol_trinken	
PA02263	an-setzen	(Bowle) ansetzen	kein_Trinken	Trinken.Alkohol_trinken	
PA02302	an-stechen	den Zapfhahn in ein Bier- oder Weinfaß treiben	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PA02304	an-stecken	anzapfen	kein_Trinken	Trinken.Alkohol_trinken	
PA02306	Ansteck-kran	großer Hahn am Faß	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	
PA02319	An-stich	das Anstechen eines Fasses	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PA02333	an-streichen	betrunken machen	kein_Trinken	Trinken.Alkohol_trinken	
PA02450	an-zapfen	den Zapfenins Faß schlagen und das erste Mal Bier (Wein) laufen lassen	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PA02559	Äpfel-traben	Rückstand beim Apfelkeltern	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	
PA02560	Apfel-trester	Rückstand beim Apfelkeltern	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft	
PA02680	Arm, Armen	eiserne Stange, an der das Wirtshausschild angebracht ist	kein_Trinken	kein_Trinken	kein_Trinken
PA02908	Attacke	Gelage	kein_Trinken	Trinken.Alkohol_trinken	
PA03044	auf-fahren	auftischen	kein_Trinken	Trinken.Austrinken	
PA03408	Auf-träger	Hilfskräfte, die bei großen Veranstaltungen den Gästen den Wein bringen	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	
PA03421	auf-tun	mit dem Ausschank beginnen	kein_Trinken	Trinken.Alkohol_trinken	
PA03431	Auf-wärter	Aushilfskellner	kein_Trinken	kein_Trinken	kein_Trinken
PA03965	Aus-schank	Ausschank	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PA03974	aus-schenken	Getränke ausschenken	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PA04096	aus-stoßen	anzapfen	kein_Trinken	Trinken.Austrinken	
PA04100	aus-streichen	ausgehen, das Wirtshaus besuchen	kein_Trinken	Trinken.Alkohol_trinken	
PA04122	Austrag-mädchen	das Mädchen, das das eingeschenkte Bier austrägt	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PA04188	aus-zapfen, -zäpfen	Getränk durch den Zapfen aus dem Faß auslassen	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PB00444	Ballen, Ball	Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PB00465	Ballon	Rausch	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PB00513	Bambusch	Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PB00520	Bampel	Gastwirt	kein_Trinken	kein_Trinken	kein_Trinken
PB00543	Bampel-wirt	ein Wirt, der sich nicht um die Gäste kümmert	kein_Trinken	kein_Trinken	kein_Trinken
PB00544	Bampel-, Bämpeles-wirtschaft	nachlässig geführte Wirtschaft	kein_Trinken	kein_Trinken	kein_Trinken
PB00552	Bamscher	Trunkenbold	kein_Trinken	Trinken.Alkohol_trinken	
PB01111	Patsch-hand	Trinkgeld	kein_Trinken	Durst	
PB01158	Batzen-häuslein	Wirtschaft an der Landstraße, wo der Wein 1 Batzen kostet	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PB01348	Baum	Gasthausname	kein_Trinken	kein_Trinken	kein_Trinken
PB01417	Bause, Pause, Bausen, Pausen	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PB01540	Bedien-mädchen	Kellnerin	kein_Trinken	kein_Trinken	kein_Trinken
PB01542	Be-dienung	Bedienungspersonal im Gastgewerbe	kein_Trinken	kein_Trinken	kein_Trinken
PB01546	be-drust	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PB01551	be-duselt	ein wenig betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PB01657	be-hurmelt	leicht betrungken	kein_Trinken	Trinken.Alkohol_trinken	
PB01796	Beize	kleines, unordentliches Gasthaus	kein_Trinken	kein_Trinken	kein_Trinken
PB01819	be-koren	kosten	kein_Trinken	Trinken.Austrinken	
PB01911	Bemscher	Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PB02153	be-schickert	angeheitert	kein_Trinken	Trinken.Alkohol_trinken	
PB02166	be-schmort	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PB02171	be-schnuckt	angeheitert	kein_Trinken	Trinken.Alkohol_trinken	
PB02173	be-schokert	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PB02190	be-schwipst	angeheitert	kein_Trinken	Trinken.Alkohol_trinken	
PB02248	be-ständert	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PB02276	be-stußt	einen Rausch haben	kein_Trinken	Trinken.Alkohol_trinken	
PB02604	Pfaffen-schänke	Schankbetrieb, dessen Reingewinn den Klerikern zufloß	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB02919	Pfetzer	Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PB02933	Pfiffer	Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PB03059	Pflug	Gasthaus zum Pflug	kein_Trinken	kein_Trinken	kein_Trinken
PB01054	Bastrenk	Tanzlokal, Kneipe, Schenke	kein_Trinken	kein_Trinken	kein_Trinken
PB03369	Bier-ausschank	Bierausschank	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03373	Bier-blättel	Bierfilz	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PB03377	Bier-deckel	Bierfilz	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser	
PB03381	Bier-filz	Unterlage für das Bierglas im Wirtshaus	kein_Trinken	kein_Trinken	kein_Trinken
PB03382	Bier-flasche	Bierflasche	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03388	Bier-garten	Garten einer Bierwirtschaft	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03391	Bier-glas	Bierglas	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03392	Bier-haus	Bierwirtschaft	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PB03393	Bier-hefe	Bierhefe	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03399	Bier-keller	Bierkeller	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03403	Bier-knüppel	Holzgerät, mit dem der Hahn ins Faß geschlagen wird	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03404	Bier-kranen	Hahn am Bierfaß	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03406	Bier-lümmel	Biersäufer	kein_Trinken	Trinken.Alkohol_trinken	
PB03409	Bier-mahl	Bewirtung mit Bier	kein_Trinken	Trinken.Alkohol_trinken	
PB03411	Bier-reise	durch mehrere Wirtshäuser ziehen	kein_Trinken	Trinken.Alkohol_trinken	
PB03414	Bier-schenke	Wirtschaft, in der vornehmlich Bier ausgeschenkt wird	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03418	Bier-stube	Bierlokal	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03420	Bier-süffel, -süffer	Biersäufer	kein_Trinken	Trinken.Alkohol_trinken	
PB03422	Bier-teller	Unterlage für das Bierglas im Wirtshaus	kein_Trinken	kein_Trinken	kein_Trinken
PB03424	Bier-trinker	Biertrinker	kein_Trinken	Trinken.Alkohol_trinken	
PB03428	Bier-wirt	Inhaber einer Bierwirtschaft	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03429	Bier-wirtschaft	Wirtschaft, in der vornehmlich Bier ausgeschenkt wird	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB03821	Pitscher	Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PB03914	Blaffert, Bläffer(t), Blaffer, Bläffer(t)	Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PB04008	Blase	Wirtshausgesellschaft	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink	
PB04015	Blaser, Bläser	tüchtiger Trinker	kein_Trinken	Trinken.Alkohol_trinken	
PB04154	blau	sinnlos betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PB04731	Bocks-beutel	Trinker	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PB04749	Böckser-bohne	verdorbene Kaffeebohne	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	
PB04764	Bock-stall	schlechte Wirtschaft, verrufenes Haus	kein_Trinken	kein_Trinken	kein_Trinken
PB04771	Bock-wirt	Inhaber der Wirtschaft zum Bock in KL-Fischb	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB04939	polen-voll	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PB05208	Borte	Schaum auf dem Bier	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier	
PB05580	Brand	starker Rausch	kein_Trinken	Durst	
PB05630	Branntwein-brigade	Ausländer, die nach 1945 betrunken inKaiserslautern herumlungerten	kein_Trinken	Trinken.Alkohol_trinken	
PB05631	Branntwein-bruder	notorischer Branntweintrinker	kein_Trinken	Trinken.Alkohol_trinken	
PB05632	Branntwein-butelle	Schnapsflasche	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PB05633	Branntwein-faß	Branntweinfaß	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PB05634	Branntwein-flasche	Branntweinflasche	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PB05636	Branntwein-glas	Schnapsglas	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PB05638	Branntwein-knürbeler	Schnapstrinker	kein_Trinken	Trinken.Alkohol_trinken	
PB05639	Branntwein-laden	Schnapsladen	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PB05640	Branntwein-lump	Schnapssäufer	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PB05644	Branntwein-stiebe	unwiderstehlicher Drang nach Schnaps	kein_Trinken	Trinken.Alkohol_trinken	
PB05645	Branntwein-süffer	notorischer Schnapstrinker	kein_Trinken	Trinken.Alkohol_trinken	
PB05678	Brast	Trinkgelage	kein_Trinken	Trinken.Alkohol_trinken	
PB05930	Breme	betrunken sein	kein_Trinken	Trinken.Alkohol_trinken	
PB05972	brennen	Schnaps brennen	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PB06435	Brot-turmel	Trunkenheit	kein_Trinken	Trinken.Alkohol_trinken	
PB06562	Brühe	Rausch	kein_Trinken	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	
PB06638	Brumm-kater	Katzenjammer mit vor Schmerzen brummendem Kopf	kein_Trinken	Trinken.Alkohol_trinken	
PB07106	Büffet-mamsell	Büffetdame im Restaurant	kein_Trinken	kein_Trinken	kein_Trinken
PB07244	Bummer	Schnapsfläschchen mit dickem Bauch	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PB07291	Bums	Kneipe	kein_Trinken	Trinken.Alkohol_trinken	
PB07292	Bums	Bezeichnung für eine Gastwirtschaft in Land (um 1920)	kein_Trinken	kein_Trinken	kein_Trinken
PB07392	Bürde	betrunken sein	kein_Trinken	Trinken.Alkohol_trinken	
PB07506	Bürste	Gastwirtschaft, deren Schild eine Bürste zeigte	kein_Trinken	Trinken.Alkohol_trinken	
PB07518	Bürsten-wirt	"Inhaber der Gastwirtschaft ""Zur Bürste"""	kein_Trinken	kein_Trinken	kein_Trinken
PB07543	Busch, Pusch, Buschen, Puschen	Alkoholrausch	kein_Trinken	Trinken.Alkohol_trinken	
PB07569	Buschon	ungeschlachter, oft betrunkener Mensch	kein_Trinken	Trinken.Alkohol_trinken	
PB07638	Butik	Gastwirtschaft für bescheidene Ansprüche, Kneipe	kein_Trinken	kein_Trinken	kein_Trinken
PD00009	Tabak	betrunken sein	kein_Trinken	Trinken.Alkohol_trinken	
PD00214	Dackel	Rausch	kein_Trinken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	
PD00444	dahin-wanken	wankend gehen (von Betrunkenen)	kein_Trinken	Trinken.Alkohol_trinken	
PD00582	Dampes	Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PD00583	Dampf	Rausch	kein_Trinken	Trinken.Alkohol_trinken	
PD00677	Tannen-strauß, Tann-strauß	Tannenzweig als Gaststättenkennzeichen der Straußwirtschaften	kein_Trinken	kein_Trinken	kein_Trinken
PD00848	daran-gehen	vom Hang zum Alkohol	kein_Trinken	Trinken.Alkohol_trinken	
PD00906	Darauf-geld	Trinkgeld	kein_Trinken	[ungültig]	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Trinkgeld
PD00939	darauf-machen	vom ausgiebigen Alkoholgenuß	kein_Trinken	Trinken.Alkohol_trinken	
PD00963	darauf-setzen	vom Alkoholgenuß	kein_Trinken	Trinken.Alkohol_trinken	
PD01305	Dauer-brand	Säufer	kein_Trinken	Trinken.Alkohol_trinken	
PD01371	Daumen	Gasthausbezeichnung	kein_Trinken	kein_Trinken	kein_Trinken
PD01673	teigig	betrunken	kein_Trinken	Trinken.Alkohol_trinken	
PD01740	Delirium	Säuferwahnsinn	kein_Trinken	Trinken.Alkohol_trinken	
PD02335	dienen	bei Tisch aufwarten	kein_Trinken	kein_Trinken	kein_Trinken
PD02541	Tisch	Tisch im Gasthaus, Stamtisch, auch runder Tisch	kein_Trinken	kein_Trinken	kein_Trinken
PD03065	Dorf-schenke	Dorfwirtshaus	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk	
PD03093	Dorf-wirtschaft	Dorfwirtshaus	kein_Trinken	kein_Trinken	kein_Trinken
PD03094	Dorf-wirtshaus	Dorfwirtshaus	kein_Trinken	kein_Trinken	kein_Trinken
PD03109	Torkeler	wer schwankend, taumelig geht, bes. in Trunkenheit	kein_Trinken	Trinken.Alkohol_trinken	
