xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Definition_gesplittet	Konzept	Lemma_gemappt	Konzept_Lemma	Def_kurz_gemappt	Konzept_Def_kurz	Konzept_gemappt
PM02984	Moze	Moze	Substantiv	'1.2	Herbstzeitlose	['Herbstzeitlose']	kein_Trinken			Herbstzeitlose	kein_Trinken	kein_Trinken
PW01453	Weiber-kleider	Weiberkleider	Substantiv	-	Frauenkleidung	['Frauenkleidung']	kein_Trinken			Frauenkleidung	kein_Trinken	kein_Trinken
PR01115	Reib-eisen	Reibeisen	Substantiv	2a	zänkische Frau	['zänkische Frau']	kein_Trinken					
PH05790	hoch-tragend, -trag(en)ig, -tragicht, -trägig	hochtragend, hochtragenig, hochtragig, tragicht, trägig	Adjektiv	-	trächtig im Endstadium (bes. von Kühen)	['trächtig im Endstadium (bes. von Kühen)']	kein_Trinken					
PE00884	ein-schroten	einschroten	Verb	-	zurechthauen und einpassen (Ziegel, Mauersteine)	['zurechthauen und einpassen (Ziegel', 'Mauersteine)']	kein_Trinken					
PW03354	wohl-tun	wohltun	Verb	3	(Part. Perf.) geziemend, richtig getan	['(Part. Perf.) geziemend', 'richtig getan']	kein_Trinken					
PF03265	Finger-spitze	Fingerspitze	Substantiv	-	Fingerspitze	['Fingerspitze']	kein_Trinken			Fingerspitze	kein_Trinken	kein_Trinken
PR00957	Regen-butzen	Regenbutzen	Substantiv	-	Regenschauer	['Regenschauer']	kein_Trinken			Regenschauer	kein_Trinken	kein_Trinken
PR02555	Rück-köze	Rückköze	Substantiv	-	Rückenkorb mit Tragebändern, die über die Schultern gehen	['Rückenkorb mit Tragebändern, die über die Schultern gehen']	kein_Trinken					
PL01063	Leder-halfter	Lederhalfter	Substantiv	-	Lederhalfter	['Lederhalfter']	kein_Trinken			Lederhalfter	kein_Trinken	kein_Trinken
PK03973	Konzeptor	Konzeptor	Substantiv	-	Lehrer	['Lehrer']	kein_Trinken			Lehrer	kein_Trinken	kein_Trinken
