xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell	Quote	Falsche Zusätzliche	ExaktGleich	Konzeptgruppe
PM02984	Moze	Substantiv	Herbstzeitlose	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PW01453	Weiber-kleider	Substantiv	Frauenkleidung	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PR01115	Reib-eisen	Substantiv	zänkische Frau	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PH05790	hoch-tragend, -trag(en)ig, -tragicht, -trägig	Adjektiv	trächtig im Endstadium (bes. von Kühen)	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PE00884	ein-schroten	Verb	zurechthauen und einpassen (Ziegel, Mauersteine)	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PW03354	wohl-tun	Verb	(Part. Perf.) geziemend, richtig getan	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PF03265	Finger-spitze	Substantiv	Fingerspitze	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PR00957	Regen-butzen	Substantiv	Regenschauer	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PR02555	Rück-köze	Substantiv	Rückenkorb mit Tragebändern, die über die Schultern gehen	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PL01063	Leder-halfter	Substantiv	Lederhalfter	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PK03973	Konzeptor	Substantiv	Lehrer	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PH04853	hinein-klettern	Verb	hineinklettern	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB00199	Bäcker-lohn	Substantiv	Backgebühr	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PS08431	Spatzert, Spätzert	Substantiv	Sperling	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PF00829	feil-halten	Verb	disputieren	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PF05329	Fronleichnams-tag	Substantiv	katholischer Feiertag, der auf den zweiten Donnerstag nach Pfingsten fällt	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PE00418	Ei-gackel	Substantiv	Sumpfdotterblume	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PW01311	weg-hören	Verb	nicht hinhören	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PI00107	Immen-kraut	Substantiv	Melisse	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD04412	Drilles	Substantiv	was sich um seine Achse im Kreise dreht	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB05839	Brech-stange	Substantiv	Brechstange	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB05745	braun	Adjektiv	braun	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PZ00100	Zahn-schwären	Substantiv	Geschwür im Zahnbereich	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PK00621	kaputt	Adjektiv	(attr) schadhaft in höchstem Grad, entzwei, zerstört, zerstört (von Sachen)	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PK02178	Kirchen-vater	Substantiv	Kirchenpfleger, Messner	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PH05601	Hirten-acker	Substantiv	Flurname	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB04178	Blau-fabrik	Substantiv	Fabrik, die Ultramarin erzeugt	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PH03605	herum-klüngeln	Verb	vom Garnstrang abnehmen und zu einem Klüngel wickeln	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PU00348	Ulm	Adjektiv	ein Kegelspiel	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PD01739	delikat	Adjektiv	fein, zartfühlend	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PS08524	Speck-klotz	Substantiv	dicker Mensch, Fettwanst	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PH04401	Hickel-bank	Substantiv	mit Kreideauf dem Boden dargestellte Bahn für das Spiel Hickel(ch)ns	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PS07103	Sekretär	Substantiv	Schreibtisch	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PF05728	Funken-sonntag	Substantiv	der Sonntag Invokavit	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PS08600	Speierling	Substantiv	der Baum Sorbus domestica und seine Frucht	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PI00286	Italiener-huhn	Substantiv	die Hühnerrasse Italiener	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB05547	Braddel	Substantiv	Kuhkot	kein_Trinken	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk	0/1	1	False	kein_Trinken
PM02615	Monats-frau	Substantiv	Haushaltshilfe, die stundenweise arbeitet (und monatlich entlohnt wird)	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PS06492	Schwengel	Substantiv	Geschlechtsteil des Hengstes	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
