xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Begriff	Top_1	Top_3	Top_5
EA00652	Amors	Amors	Substantiv	3.	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Schnaps; Kurzer; Branntewein; Branntwein	Fusel; Schnaps; Kurzer; Branntewein; Branntwein; Feuerwasser
EF00900	Fusel	Fusel	Substantiv		geringer, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Branntewein; Kurzer; Schnaps; Branntwein	Fusel; Branntewein; Kurzer; Branntwein; Schnaps; Krambambuli; Feuerwasser
EF01024	Vitriol	Vitriol	Substantiv	2.	schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel	Fusel; Branntewein; Branntwein; Schnaps; Kurzer	Fusel; Branntewein; Branntwein; Kurzer; Schnaps; Krambambuli
EG00225	Rattengift	Rattengift	Substantiv	1.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntewein; Branntwein; Feuerwasser	Schnaps; Branntewein; Branntwein; Reisschnaps; Zuckerrohrschnaps; Feuerwasser; Kurzer
EG00272	Giger	Giger	Substantiv	4.	schlechte Sorte Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Fusel; Branntewein	Fusel; Branntewein; Branntwein; Schnaps	Fusel; Branntewein; Branntwein; Kurzer; Schnaps; Krambambuli; Feuerwasser
EG00282	Giges, Gigs	Giges, Gigs	Substantiv		schlechter Branntwein, Fusel; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Branntewein; Branntwein; Fusel; Schnaps; Wein	Fusel	Fusel; Kurzer; Branntewein; Weinbrand	Fusel; Kurzer; Branntewein; Branntwein; Schnaps; Weinbrand
EG00283	Burlegiges	Burlegiges	Substantiv	1.	schlechter, gewässerter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Weinwarm; Rebensaft	Wein; Weinwarm; Rebensaft; Brühe; Gesöff
EG01048	Geist	Geist	Substantiv	2.	Weingeist, Alkohol	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Hochprozentiges; Spirituose	Spirituose; Weinbrand	Spirituose; Hochprozentiges; Absinth; Weinbrand	Spirituose; Hochprozentiges; Absinth; Wodka; Flüssignahrung; Weinbrand; billiger Alkohol; Trinkbares
EG01127	Herrgöttel	Herrgöttel	Substantiv	2.	ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Bier; Wein	Radler; Rebensaft	Radler; Bier; Leichtbier; Rebensaft; Wein; Tafelwein	Radler; Bier; Leichtbier; Biermischgetränk; Kellerbier; Rebensaft; Wein; Tafelwein; Pumpenheimer; Gänsewein
EK00182	Kaffee, Kaffi	Kaffee, Kaffi	Substantiv	1.	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Kaffee	Kaffee	Kaffee; Café; Lorke	Kaffee; Café; Lorke; Brühe; KaffeemitSchuss
EK00183	Schokelakaffee	Schokelakaffee	Substantiv		Milchschokolade mit Brot	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao	Milchschokolade; Schokoladenmilch	Schokomilch	Schokomilch; Schokoladenmilch; Kaffee mit aufgeschäumter Milch	Schokomilch; Schokoladenmilch; Kaffee mit aufgeschäumter Milch; Kakaomilch; Milchshake
EK01109	Kirs(e), Kirsch	Kirse, Kirs, Kirsch	Substantiv	2.	Kirschbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Kirsch; Kirschgeist; Kirschwasser	Kirschgeist; Kirsch	Kirschgeist; Kirschwasser; Kirsch	Kirschgeist; Kirschwasser; Kirsch; Marillenschnaps; Marillenbrand; Punsch; Schokoladentrank; Obstschnaps
EK01744	Kläw(n)er, Kläfler	Kläwner, Kläwer, Kläfler	Substantiv	2.	Wein daraus	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Wein	Wein	Wein; Landwein; Most	Wein; Landwein; Most; Weinwarm; Bock
EK02026	Kräbel	Kräbel	Substantiv		Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Branntwein	Branntwein; Branntewein; Schnaps	Branntwein; Branntewein; Schnaps; Feuerwasser; Kurzer
EK02032	Krëbser 	Krëbser	Substantiv	1.	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Schnaps	Schnaps	Schnaps; Branntewein; Branntwein	Schnaps; Branntewein; Branntwein; Feuerwasser; Kurzer
EL00463	Vorlauf	Vorlauf	Substantiv	2.	der erste Branntwein, der beim Branntweinbrennen herauskommt; er wird nicht getrunken, sondern zur Herstellung einer geringeren Güte Schnaps oder zu Einreibungen verwandt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Branntewein; Branntwein; Fusel; Schnaps	Branntewein; Fusel	Branntewein; Branntwein; Kurzer; Fusel	Branntewein; Branntwein; Kurzer; Schnaps; Feuerwasser; Fusel
EL01179	Lur(e), Lür	Lure, Lur, Lür	Substantiv	4.	schlechte Brühe überhaupt, bes. Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Branntewein; Branntwein; Fusel; Schnaps	Geplämpe; Brühe; Plempe	Geplämpe; Lurke; Plampel; Plempe; Plämpe; Brühe; Gesöff; Plörre; Geschlapp	Geplämpe; Lurke; Plampel; Plörre; Plempe; Plämpe; Geschlapp; Brühe; Gesöff; Lorke
