xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell	Quote	Falsche Zusätzliche	ExaktGleich	Konzeptgruppe
EA00652	Amors	Substantiv	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	"The most appropriate concept for ""Amors"" (schlechter Schnaps) is:

Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	1/1	0	True	Getränk
ET01334	durstig	Adjektiv	durstig	Durst	Durst	"The most appropriate concept for ""durstig"" is:

Durst"	1/1	0	True	Durst
ET01335	dürsterig, dürsterlich	Adjektiv	durstigmachend, durstbringend	Durst	Durst	"The dictionary entry discusses causing or bringing thirst, which directly relates to the concept of ""Durst.""

**Answer:** Durst"	1/1	0	True	Durst
LD01155	durschtisch	Adjektiv	durstig	Durst	Durst	"The dictionary entry for ""durschtisch"" meaning ""thirsty"" directly relates to the concept of thirst. 

Durst"	1/1	0	True	Durst
PD05717	dursterig, dürsterig	Adjektiv	durstig	Durst	Durst	Durst	1/1	0	True	Durst
PD05718	durstig, dürstig	Adjektiv	durstig, dürstig	Durst	Durst	"The dictionary entry ""durstig, dürstig"" refers to being thirsty, which directly corresponds to the concept of 'Durst.'

Durst"	1/1	0	True	Durst
PL01019	lech	Adjektiv	durstig	Durst	Durst	"The headword ""lech"" translates to ""thirsty,"" which corresponds directly to the concept ""Durst.""

Durst"	1/1	0	True	Durst
PU00917	unter-irdisch	Substantiv	der aus Kartoffeln hergestellte Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
EF00900	Fusel	Substantiv	geringer, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	"The concept that fits ""Fusel"" as an inferior brandy is Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose.

Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	1/1	0	True	Getränk
EF01024	Vitriol	Substantiv	schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
EG00225	Rattengift	Substantiv	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	"The dictionary entry for ""Rattengift"" is defined as ""Schnaps,"" which refers to a type of spirit. 

Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	1/1	0	True	Getränk
EG00272	Giger	Substantiv	schlechte Sorte Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	"The dictionary entry refers to a poor-quality spirit, fitting under alcoholic cold beverages as a type of spirit.

Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	1/1	0	True	Getränk
EG00282	Giges, Gigs	Substantiv	schlechter Branntwein, Fusel; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	2/2	0	True	Getränk
EG00283	Burlegiges	Substantiv	schlechter, gewässerter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken		0/1	1	False	Getränk
EG01048	Geist	Substantiv	Weingeist, Alkohol	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	kein_Trinken		0/1	1	False	Getränk
EG01127	Herrgöttel	Substantiv	ein kleines Glas Bier, ein halber Schoppen, ein viertel Liter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken		0/2	1	False	Getränk
EH00174	huchen	Substantiv	trinken, bes. übermässig	Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken	Trinken.Schnell_große_Mengen_trinken	1/1	0	True	Trinken
EK00182	Kaffee, Kaffi	Substantiv	Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	1/1	0	True	Getränk
EK00183	Schokelakaffee	Substantiv	Milchschokolade mit Brot	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kakao	kein_Trinken		0/1	1	False	Getränk
EK01109	Kirs(e), Kirsch	Substantiv	Kirschbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
EK01744	Kläw(n)er, Kläfler	Substantiv	Wein daraus	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein	kein_Trinken		0/1	1	False	Getränk
EK02026	Kräbel	Substantiv	Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
EK02032	Krëbser	Substantiv	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	"The dictionary entry for ""Krëbser"" defines it as ""Schnaps,"" which refers to a type of alcoholic spirit. The most specific and accurate concept from the list is:

Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose

**Answer:**
Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose"	1/1	0	True	Getränk
EL00463	Vorlauf	Substantiv	der erste Branntwein, der beim Branntweinbrennen herauskommt; er wird nicht getrunken, sondern zur Herstellung einer geringeren Güte Schnaps oder zu Einreibungen verwandt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	kein_Trinken		0/1	1	False	Getränk
EL01179	Lur(e), Lür	Substantiv	schlechte Brühe überhaupt, bes. Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee	1/1	0	True	Getränk
EL01179	Lur(e), Lür	Substantiv	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	1/1	0	True	Getränk
