xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell	Quote	Falsche Zusätzliche	ExaktGleich	Konzeptgruppe
PA00275	ab-gießen	Verb	vom Satz durch Gießen entfernen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA00764	ab-steigen	Verb	einkehren	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA01084	Adler	Substantiv	Gasthaus zum Adler	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA01105	Affe	Substantiv	Rausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA01551	Ambuschur	Substantiv	wer tüchtig im Trinken ist	kein_Trinken	Trinken.Schnell_große_Mengen_trinken	Trinken.Alkohol_trinken.Schnell_große_Mengen_trinken	0/1	1	False	kein_Trinken
PA01683	an-brüten	Verb	angeheitert	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA01953	an-heitern	Verb	anheitern	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA02139	Anrauch-kopf	Substantiv	betrunken sein, bzw. aussehen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA02161	an-rudeln	Verb	betrunken sein	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PA02263	an-setzen	Verb	(Bowle) ansetzen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA02302	an-stechen	Verb	den Zapfhahn in ein Bier- oder Weinfaß treiben	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PA02304	an-stecken	Verb	anzapfen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA02306	Ansteck-kran	Substantiv	großer Hahn am Faß	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA02319	An-stich	Substantiv	das Anstechen eines Fasses	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PA02333	an-streichen	Verb	betrunken machen	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PA02450	an-zapfen	Verb	den Zapfenins Faß schlagen und das erste Mal Bier (Wein) laufen lassen	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PA02559	Äpfel-traben	Substantiv	Rückstand beim Apfelkeltern	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA02560	Apfel-trester	Substantiv	Rückstand beim Apfelkeltern	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA02680	Arm, Armen	Substantiv	eiserne Stange, an der das Wirtshausschild angebracht ist	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA02908	Attacke	Substantiv	Gelage	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA03044	auf-fahren	Verb	auftischen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA03408	Auf-träger	Substantiv	Hilfskräfte, die bei großen Veranstaltungen den Gästen den Wein bringen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA03421	auf-tun	Verb	mit dem Ausschank beginnen	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PA03431	Auf-wärter	Substantiv	Aushilfskellner	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PA03965	Aus-schank	Substantiv	Ausschank	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PA03974	aus-schenken	Verb	Getränke ausschenken	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PA04096	aus-stoßen	Verb	anzapfen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA04100	aus-streichen	Verb	ausgehen, das Wirtshaus besuchen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA04122	Austrag-mädchen	Substantiv	das Mädchen, das das eingeschenkte Bier austrägt	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PA04188	aus-zapfen, -zäpfen	Verb	Getränk durch den Zapfen aus dem Faß auslassen	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB00444	Ballen, Ball	Substantiv	Rausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB00465	Ballon	Substantiv	Rausch	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB00513	Bambusch	Substantiv	Rausch	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB00520	Bampel	Substantiv	Gastwirt	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB00543	Bampel-wirt	Substantiv	ein Wirt, der sich nicht um die Gäste kümmert	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB00544	Bampel-, Bämpeles-wirtschaft	Substantiv	nachlässig geführte Wirtschaft	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB00552	Bamscher	Substantiv	Trunkenbold	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB01111	Patsch-hand	Substantiv	Trinkgeld	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB01158	Batzen-häuslein	Substantiv	Wirtschaft an der Landstraße, wo der Wein 1 Batzen kostet	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB01348	Baum	Substantiv	Gasthausname	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB01417	Bause, Pause, Bausen, Pausen	Substantiv	Alkoholrausch	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB01540	Bedien-mädchen	Substantiv	Kellnerin	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB01542	Be-dienung	Substantiv	Bedienungspersonal im Gastgewerbe	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB01546	be-drust	Adjektiv	betrunken	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB01551	be-duselt	Adjektiv	ein wenig betrunken	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB01657	be-hurmelt	Adjektiv	leicht betrungken	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB01796	Beize	Substantiv	kleines, unordentliches Gasthaus	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB01819	be-koren	Verb	kosten	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB01911	Bemscher	Substantiv	Trinker	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB02153	be-schickert	Adjektiv	angeheitert	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB02166	be-schmort	Adjektiv	betrunken	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
PB02171	be-schnuckt	Adjektiv	angeheitert	kein_Trinken	[ungültig]		0/1	1	False	kein_Trinken
PB02173	be-schokert	Adjektiv	betrunken	kein_Trinken	kein_Trinken		1/1	0	True	kein_Trinken
