ID	Lemma	Definition	Konzept	Konzept_gemappt	Antwort_Modell
PM02984	Moze	Herbstzeitlose	kein_Trinken	Other	other
PW01453	Weiber-kleider	Frauenkleidung	kein_Trinken	Other	other
PR01115	Reib-eisen	zänkische Frau	kein_Trinken	Other	other
PH05790	hoch-tragend, -trag(en)ig, -tragicht, -trägig	trächtig im Endstadium (bes. von Kühen)	kein_Trinken	Other	other
PE00884	ein-schroten	zurechthauen und einpassen (Ziegel, Mauersteine)	kein_Trinken	Other	other
PW03354	wohl-tun	(Part. Perf.) geziemend, richtig getan	kein_Trinken	Other	other
PF03265	Finger-spitze	Fingerspitze	kein_Trinken	Other	other
PR00957	Regen-butzen	Regenschauer	kein_Trinken	Other	other
PR02555	Rück-köze	Rückenkorb mit Tragebändern, die über die Schultern gehen	kein_Trinken	Other	other
PL01063	Leder-halfter	Lederhalfter	kein_Trinken	Other	other
PK03973	Konzeptor	Lehrer	kein_Trinken	Other	other
PH04853	hinein-klettern	hineinklettern	kein_Trinken	Other	other
PB00199	Bäcker-lohn	Backgebühr	kein_Trinken	Other	other
PS08431	Spatzert, Spätzert	Sperling	kein_Trinken	Other	other
PF00829	feil-halten	disputieren	kein_Trinken	Other	other
PF05329	Fronleichnams-tag	katholischer Feiertag, der auf den zweiten Donnerstag nach Pfingsten fällt	kein_Trinken	Other	other
PE00418	Ei-gackel	Sumpfdotterblume	kein_Trinken	Other	other
PW01311	weg-hören	nicht hinhören	kein_Trinken	Other	other
PI00107	Immen-kraut	Melisse	kein_Trinken	Other	other
PD04412	Drilles	was sich um seine Achse im Kreise dreht	kein_Trinken	Other	other
PB05839	Brech-stange	Brechstange	kein_Trinken	Other	other
PB05745	braun	braun	kein_Trinken	Other	other
PZ00100	Zahn-schwären	Geschwür im Zahnbereich	kein_Trinken	Other	other
PK00621	kaputt	(attr) schadhaft in höchstem Grad, entzwei, zerstört, zerstört (von Sachen)	kein_Trinken	Other	other
PK02178	Kirchen-vater	Kirchenpfleger, Messner	kein_Trinken	Other	other
PH05601	Hirten-acker	Flurname	kein_Trinken	Other	other
PB04178	Blau-fabrik	Fabrik, die Ultramarin erzeugt	kein_Trinken	Other	other
PH03605	herum-klüngeln	vom Garnstrang abnehmen und zu einem Klüngel wickeln	kein_Trinken	Other	other
PU00348	Ulm	ein Kegelspiel	kein_Trinken	Other	other
PD01739	delikat	fein, zartfühlend	kein_Trinken	Other	other
PS08524	Speck-klotz	dicker Mensch, Fettwanst	kein_Trinken	Other	other
PH04401	Hickel-bank	mit Kreideauf dem Boden dargestellte Bahn für das Spiel Hickel(ch)ns	kein_Trinken	Other	other
PS07103	Sekretär	Schreibtisch	kein_Trinken	Other	other
PF05728	Funken-sonntag	der Sonntag Invokavit	kein_Trinken	Other	other
PS08600	Speierling	der Baum Sorbus domestica und seine Frucht	kein_Trinken	Other	other
PI00286	Italiener-huhn	die Hühnerrasse Italiener	kein_Trinken	Other	other
PB05547	Braddel	Kuhkot	kein_Trinken	Other	other
PM02615	Monats-frau	Haushaltshilfe, die stundenweise arbeitet (und monatlich entlohnt wird)	kein_Trinken	Other	other
PS06492	Schwengel	Geschlechtsteil des Hengstes	kein_Trinken	Other	other
PZ00099	Zahn-schrupper	Zahnbürste	kein_Trinken	Other	other
PS10650	Stern-buben	durch das Dorf ziehende und Gaben heischende Sternsingerbuben	kein_Trinken	Other	other
